id,Estimate!!Median income (dollars)!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households
13137000100,49000
13137000201,50176
13137000202,60083
13137000300,49440
13137000400,61613
13137000500,49551
13137000601,48250
13137000602,40693
13139000101,48328
13139000102,61860
13139000201,58043
13139000203,61220
13139000204,81071
13139000302,65909
13139000303,83000
13139000304,71163
13139000305,62083
13139000400,70443
13139000500,69355
13139000600,46883
13139000701,50144
13139000702,59907
13139000800,21788
13139000900,60159
13139001002,66639
13139001003,33030
13139001004,52891
13139001101,31851
13139001102,48641
13139001201,52912
13139001202,47905
13139001301,61576
13139001302,83654
13139001402,68723
13139001403,60321
13139001404,59129
13139001501,69375
13139001502,75195
13139001603,87770
13139001604,99088
13139001605,117950
13139001606,61202
13139001607,74769
13139001608,93283
13141480300,43708
13141480400,29624
13143010100,56071
13143010200,49091
13143010301,48239
13143010302,52609
13143010400,45023
13145120198,57813
13145120200,52906
13145120300,88830
13145120401,98152
13145120402,81300
13147960100,53073
13147960200,55781
13147960300,42866
13147960400,37385
13147960500,40926
13149970100,39952
13149970200,55609
13149970300,61154
13151070104,67665
13151070106,58134
13151070107,69966
13151070108,67159
13151070109,70174
13151070110,82901
13151070111,52259
13151070113,47566
13151070114,48986
13151070202,102759
13151070203,104632
13151070204,88135
13151070205,72316
13151070304,48983
13151070305,94963
13151070306,71927
13151070307,78520
13151070309,96082
13151070310,92083
13151070311,48146
13151070402,79688
13151070403,62479
13151070404,64528
13151070501,63170
13151070502,77692
13153020105,48689
13153020106,73049
13153020108,51823
13153020109,66423
13153020200,36737
13153020300,24491
13153020400,15922
13153020600,64479
13153020700,29241
13153020800,60156
13153020900,52351
13153021000,40783
13153021103,95254
13153021104,55694
13153021105,48969
13153021107,73582
13153021108,83415
13153021113,92344
13153021201,92423
13153021202,52361
13153021300,47105
13153021400,65545
13153021500,72396
13155950100,39590
13155950200,34583
13157010101,74776
13157010102,82371
13157010103,85176
13157010200,48750
13157010300,45950
13157010400,54353
13157010500,51017
13157010600,67978
13157010701,57417
13157010702,61854
